pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Event_description	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Fonti_primarie	Fonti_secondarie	source
item_23	Prima ascensione: Campo Tencia 	Campo Tencia	FALSE		Silver age of alpinism		First absolute ascent				1867	1867	Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi	Peter Sulzere, Caveng		Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi, Peter Sulzere, Caveng			Wikipedia
item_24	Prima ascensione: Cima di Nasta 	Cima di Nasta	FALSE				First absolute ascent				1878	1878	Douglas William Freshfield			Douglas William Freshfield			Wikipedia
item_25	Prima ascensione: Cima Piazzi 	Cima Piazzi	FALSE		Silver age of alpinism		First absolute ascent				21 agosto 1867	1867	Johann Jacob Weilenmann, Franz Pöll, Santo Romani			Johann Jacob Weilenmann, Franz Pöll, Santo Romani			Wikipedia
item_26	Prima ascensione: Crast' Agüzza 	Crast' Agüzza	FALSE		Silver age of alpinism		First absolute ascent			per la cresta ovest	17 luglio 1865	1865	Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner			Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner			Wikipedia
item_27	Prima ascensione: Fluchthorn (Alpi Retiche occidentali) 	Fluchthorn (Alpi Retiche occidentali)	FALSE		Golden age of alpinism		First absolute ascent				1862	1862	Johann Jakob Weilenmann, Franz Pöll			Johann Jakob Weilenmann, Franz Pöll			Wikipedia
item_28	Prima ascensione: Grand Cornier 	Grand Cornier	FALSE		Silver age of alpinism		First absolute ascent				16/06/1865	1865	Edward Whymper, Christian Almer, Michel Croz, Franz Biner			Edward Whymper, Christian Almer, Michel Croz, Franz Biner			Wikipedia
item_29	Prima ascensione: La Ruinette 	La Ruinette	FALSE		Silver age of alpinism		First absolute ascent				6 luglio1865	1865	Edward Whymper	Christian Almer, Franz Biner		Edward Whymper, Christian Almer, Franz Biner			Wikipedia
item_30	Prima ascensione: Lasörling 	Lasörling	FALSE		Golden age of alpinism		First absolute ascent				1861	1861	Karl von Sonklar			Karl von Sonklar			Wikipedia
item_31	Prima ascensione: Mont Blanc de Cheilon 	Mont Blanc de Cheilon	FALSE		Silver age of alpinism		First absolute ascent				11 settembre 1865	1865	Johann Jakob Weilenmann, Justin Felley			Johann Jakob Weilenmann, Justin Felley			Wikipedia
item_32	Prima ascensione: Mont Pourri 	Mont Pourri	FALSE		Golden age of alpinism		First absolute ascent				4 ottobre1861	1861	Michel Croz		France	Michel Croz			Wikipedia Table
item_33	Prima ascensione: Monte Caplone 	Monte Caplone	FALSE				First absolute ascent				12/04/1903	1903	Hans Reinl	torrione a Cima Büs de Balì		Hans Reinl, torrione a Cima Büs de Balì			Wikipedia
item_34	Prima ascensione: Palla Bianca 	Palla Bianca	FALSE				First absolute ascent				1850	1850	Josef Anton Specht, Leander Klotz e Nicodem Klotz			Josef Anton Specht, Leander Klotz e Nicodem Klotz			Wikipedia
item_35	Prima ascensione: Parseierspitze 	Parseierspitze	FALSE		Silver age of alpinism		First absolute ascent				1869	1869	Joseph Anton Specht, Peter Siess			Joseph Anton Specht, Peter Siess			Wikipedia
item_36	Prima ascensione: Piz Bacun 	Piz Bacun	FALSE				First absolute ascent				1883	1883	Theodor Curtius, Christian Klucker, Johann Eggenberger			Theodor Curtius, Christian Klucker, Johann Eggenberger			Wikipedia
item_37	Prima ascensione: Piz Buin 	Piz Buin	FALSE		Silver age of alpinism		First absolute ascent				14 Jul 1865	1865	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll		Austria, Switzerland	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll		Erschliessung 2, 10-12	Wikipedia, Wikipedia Table
item_38	Prima ascensione: Pizzi Gemelli 	Pizzi Gemelli	FALSE				First absolute ascent				9 giugno 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker			Wikipedia
item_39	Prima ascensione: Punta Sulè 	Punta Sulè	FALSE		Silver age of alpinism		First absolute ascent				16 agosto 1880	1880	Filippo Vallino			Filippo Vallino		G.Berutto, Valli di Lanzo e Moncenisio, Istituto Geografico Centrale, 1996.	Wikipedia
item_40	Prima ascensione: Punta Whymper 	Punta Whymper	FALSE		Silver age of alpinism		First absolute ascent				24 giugno 1865	1865	Edward Whymper	Michel Croz, Christian Almer, Franz Biner		Edward Whymper, Michel Croz, Christian Almer, Franz Biner			Wikipedia
item_41	Prima ascensione: Sciora di Fuori 	Sciora di Fuori	FALSE				First absolute ascent				6 luglio 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker			Wikipedia
item_42	Prima ascensione: Sustenhorn 	Sustenhorn	FALSE				First absolute ascent				7 agosto 1841	1841	Gottlieb Samuel Studer			Gottlieb Samuel Studer			Wikipedia
item_43	Prima ascensione: Wildhorn 	Wildhorn	FALSE				First absolute ascent				settembre 1843	1843	Gottlieb Samuel Studer			Gottlieb Samuel Studer			Wikipedia
item_44	Prima ascensione: Grand Nomenon 	Grand Nomenon	FALSE		Silver age of alpinism		First absolute ascent				25/06/1877	1877	Felice Montaldo, Antonio Boggiatto, Antonio Castagneri			Felice Montaldo, Antonio Boggiatto, Antonio Castagneri			Wikipedia
item_45	Prima ascensione: Adula 	Adula	FALSE				First absolute ascent				01/06/1789	1789	Placidus a Spescha			Placidus a Spescha			Wikipedia
item_46	Prima ascensione: Angerstein 	Angerstein	FALSE				First absolute ascent				28 ottobre 1888	1888	Ludwig Purtscheller			Ludwig Purtscheller			Wikipedia
item_47	Prima ascensione: Becco Alto d'Ischiator 	Becco Alto d'Ischiator	FALSE				First absolute ascent				28 giugno1890	1890	Ludwig Purtscheller			Ludwig Purtscheller			Wikipedia
item_48	Prima ascensione: Cima di Valmora (E) 	Cima di Valmora (E)	FALSE				First absolute ascent				1948	1948	Leone Pellicioli			Leone Pellicioli			Wikipedia
item_49	Prima ascensione: Flachkogel Niederer 	Flachkogel Niederer	FALSE				First absolute ascent				28/10/1888	1888	Ludwig Purtscheller			Ludwig Purtscheller			Wikipedia
item_50	Prima ascensione: Grande Roise 	Grande Roise	FALSE				First absolute ascent				17 luglio 1875[1]	5[1]	Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel			Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel			Wikipedia
item_51	Prima ascensione: Jôf Fuârt 	Jôf Fuârt	FALSE				First absolute ascent				1891	1891	Julius Kugy			Julius Kugy			Wikipedia
item_52	Prima ascensione: Kanjavec 	Kanjavec	FALSE		Silver age of alpinism		First absolute ascent				18 agosto1877	1877	Julius Kugy			Julius Kugy			Wikipedia
item_53	Prima ascensione: Monte Coglians 	Monte Coglians	FALSE		Silver age of alpinism		First absolute ascent				30 settembre1865	1865	Paul Grohmann			Paul Grohmann			Wikipedia
item_54	Prima ascensione: Piz Terri 	Piz Terri	FALSE				First absolute ascent				1798	1798	Placidus a Spescha			Placidus a Spescha			Wikipedia
item_55	Prima ascensione: Tour Real 	Tour Real	FALSE				First absolute ascent				19 settembre 1899	1899	Michele Celestino Bes			Michele Celestino Bes			Wikipedia
item_56	Prima ascensione: Visolotto 	Visolotto	FALSE		Silver age of alpinism		First absolute ascent				4 settembre1875	1875	Felice Montaldo, Antonio Castagneri, Francesco Perotti			Felice Montaldo, Antonio Castagneri, Francesco Perotti			Wikipedia
item_57	Prima ascensione: Adamello (monte) 	Adamello (monte)	FALSE		Golden age of alpinism		First absolute ascent				15/09/1864	1864	Julius von Payer	Giovanni Caturani	Austria	Julius von Payer, Giovanni Caturani			Wikipedia, Wikipedia Table
item_58	Prima ascensione: Aiguille de Chambeyron 	Aiguille de Chambeyron	FALSE		Silver age of alpinism		First absolute ascent				28/07/1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Michelangelo Bruno, Monte Viso, Alpi Cozie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1987.	Wikipedia
item_59	Prima ascensione: Aiguille du Moine 	Aiguille du Moine	FALSE		Silver age of alpinism		First absolute ascent				22 settembre 1871	1871	Isabella Straton, Emmeline Lewis Lloyd	Joseph Simond, Jean-Estéril Charlet		Isabella Straton, Emmeline Lewis Lloyd, Joseph Simond, Jean-Estéril Charlet			Wikipedia
item_60	Prima ascensione: Aiguille du Plan 	Aiguille du Plan	FALSE		Silver age of alpinism		First absolute ascent				1871	1871	James Eccles	Alphonse Payot, Michel-Clément Payot		James Eccles, Alphonse Payot, Michel-Clément Payot			Wikipedia
item_61	Prima ascensione: Aiguilles Septentrionale d'Arves 	Aiguilles Septentrionale d'Arves	FALSE				First absolute ascent				2 Sep 1839	1839	Pierre Alexis Magnin, Benoît Nicolas Magnin		France	Pierre Alexis Magnin, Benoît Nicolas Magnin		Benoît Nicolas Magnin, The Ascent of the Central Aiguille d'Arves, AJ, Volume 18, 1895, pp 165-8.	Wikipedia Table
item_62	Prima ascensione: Aiguilles Centrale d'Arves 	Aiguilles Centrale d'Arves	FALSE				First absolute ascent				1878	1878	William Auguste Coolidge			William Auguste Coolidge			Wikipedia
item_63	Prima ascensione: Aiguilles de Trélatête 	Aiguilles de Trélatête	FALSE		Golden age of alpinism		First absolute ascent				12 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Michel-Clément Payot, Henri Charlet	France, Switzerland, England	Anthony Adams Reilly, Edward Whymper, Michel Croz, Michel-Clément Payot, Henri Charlet		F. F. Tuckett (1862) The Ascent of the Aletschhorn in Peaks, Passes, and Glaciers, pp. 33-72	Wikipedia, Wikipedia Table
item_64	Prima ascensione: Aiguilles Dorées 	Aiguilles Dorées	FALSE				First absolute ascent				30 agosto 1892	1892	Valère Alfred Fynne William J. Murphy			Valère Alfred Fynne William J. Murphy			Wikipedia
item_65	Prima ascensione: Ailefroide 	Ailefroide	FALSE		Silver age of alpinism		First absolute ascent				7 luglio1870	1870	William Auguste Coolidge, Christian Almer, Ulrich Almer		Switzerland, America	William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia, Wikipedia Table
item_66	Prima ascensione: Aletschhorn 	Aletschhorn	FALSE		Golden age of alpinism		First absolute ascent				18 giugno 1859	1859	Francis Fox Tuckett	Johann Joseph Bennen, Peter Bohren, Vistor Tairraz		Francis Fox Tuckett, Johann Joseph Bennen, Peter Bohren, Vistor Tairraz			Wikipedia
item_67	Prima ascensione: Antelao 	Antelao	FALSE		Golden age of alpinism		First absolute ascent				18 Sep 1863	1863	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi	Concurring Hypothesis	Austria, Italy	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi, Concurring Hypothesis			Wikipedia, Wikipedia Table
item_68	Prima ascensione: Antelao 	Antelao	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				1850	1850	Matteo Ossi	Concurring Hypothesis	Italy	Matteo Ossi, Concurring Hypothesis			Wikipedia (Italian Article)
item_69	Prima ascensione: Becca di Suessa 	Becca di Suessa	FALSE				First absolute ascent				2 settembre1889	1889	William Auguste Coolidge, Ulrich Almer			William Auguste Coolidge, Ulrich Almer			Wikipedia
item_70	Prima ascensione: Birkkarspitze 	Birkkarspitze	FALSE		Silver age of alpinism		First absolute ascent				6 luglio1870	1870	Hermann von Barth			Hermann von Barth			Wikipedia
item_71	Prima ascensione: Catinaccio d'Antermoia 	Catinaccio d'Antermoia	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				31 agosto1872	1872	Charles Comyns Tucker, T.H. Carson, Luigi Bernard			Charles Comyns Tucker, T.H. Carson, Luigi Bernard			Wikipedia
item_72	Prima ascensione: Cima Brenta 	Cima Brenta	FALSE		Silver age of alpinism		First absolute ascent				agosto 1871	1871	Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud			Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud			Wikipedia
item_73	Prima ascensione: Cima Canali 	Cima Canali	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				30 agosto1879	1879	Michele Bettega, Charles Comyns Tucker			Michele Bettega, Charles Comyns Tucker			Wikipedia
item_74	Prima ascensione: Cima dell'Uomo (Dolomiti) 	Cima dell'Uomo (Dolomiti)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				17 luglio 1879	1879	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard			Wikipedia
item_75	Prima ascensione: Cima Mongioia 	Cima Mongioia	FALSE				First absolute ascent				20 luglio1878	1878	Paul Agnel, Joseph Risoul			Paul Agnel, Joseph Risoul			Wikipedia
item_76	Prima ascensione: Cima Sternai 	Cima Sternai	FALSE		Silver age of alpinism		First absolute ascent				30 luglio1868	1868	Julius von Payer, Johann Pinggera			Julius von Payer, Johann Pinggera			Wikipedia
item_77	Prima ascensione: Cima Undici 	Cima Undici	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				1878	1878	Michel Innerkofler			Michel Innerkofler			Wikipedia
item_78	Prima ascensione: Cima Vertana 	Cima Vertana	FALSE		Silver age of alpinism		First absolute ascent				28 agosto 1865	1865	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera			Wikipedia
item_79	Prima ascensione: Cresta Gastaldi 	Cresta Gastaldi	FALSE				First absolute ascent				12 agosto 1888	1888	William Auguste Coolidge, George Yeld	Christian Almer junior, Rodolphe Almer		William Auguste Coolidge, George Yeld, Christian Almer junior, Rodolphe Almer		[1]	Wikipedia
item_80	Prima ascensione: Croce Rossa (monte) 	Croce Rossa (monte)	FALSE		Golden age of alpinism		First absolute ascent				1857	1857	Antonio Tonini			Antonio Tonini		Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980.	Wikipedia
item_81	Prima ascensione: Croda da Lago 	Croda da Lago	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				19 luglio1884	1884	Michel Innerkofler			Michel Innerkofler			Wikipedia
item_82	Prima ascensione: Croda dei Toni 	Croda dei Toni	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				28 settembre1874	1874	Michel Innerkofler, Johann Innerkofler			Michel Innerkofler, Johann Innerkofler			Wikipedia
item_83	Prima ascensione: Croda delle Cornacchie 	Croda delle Cornacchie	FALSE				First absolute ascent				1853	1853							Wikipedia
item_84	Prima ascensione: Croda Rossa di Sesto 	Croda Rossa di Sesto	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				20 luglio1878	1878	Michel Innerkofler, Loránd Eötvös			Michel Innerkofler, Loránd Eötvös			Wikipedia
item_85	Prima ascensione: Crozzon di Lares 	Crozzon di Lares	FALSE		Silver age of alpinism		First absolute ascent				3 settembre1868	1868	Julius von Payer			Julius von Payer			Wikipedia
item_86	Prima ascensione: Dôme de Rochefort 	Dôme de Rochefort	FALSE		Silver age of alpinism		First absolute ascent				12 agosto1881	1881	James Eccles, Alphonse Payot, Michel-Clément Payot			James Eccles, Alphonse Payot, Michel-Clément Payot			Wikipedia
item_87	Prima ascensione: Grand Tournalin 	Grand Tournalin	FALSE		Golden age of alpinism		First absolute ascent				8 agosto1863	1863	Edward Whymper, Jean-Antoine Carrel			Edward Whymper, Jean-Antoine Carrel			Wikipedia
item_88	Prima ascensione: Grande Mèsule 	Grande Mèsule	FALSE		Silver age of alpinism		First absolute ascent				16 giugno1865	1865	George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel			George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel			Wikipedia
item_89	Prima ascensione: Grande Ruine 	Grande Ruine	FALSE		Silver age of alpinism		First absolute ascent				19 luglio1873	1873	Mademoiselle Brevoort, William Auguste Coolidge	guide		Mademoiselle Brevoort, William Auguste Coolidge, guide			Wikipedia
item_90	Prima ascensione: Grande Traversière 	Grande Traversière	FALSE				First absolute ascent				24 agosto1885	1885	William Auguste Coolidgecon, Ulrich Almer			William Auguste Coolidgecon, Ulrich Almer		Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_91	Prima ascensione: Großvenediger 	Großvenediger	FALSE				First absolute ascent				3 Sep 1841	1841	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others		Austria	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others			Wikipedia, Wikipedia Table
item_92	Prima ascensione: Helsenhorn 	Helsenhorn	FALSE				First absolute ascent				26 luglio 1891	1891	William Auguste Coolidge	Christian e Rudolf Almer		William Auguste Coolidge, Christian e Rudolf Almer		Erschliessung 3, 134-136	Wikipedia
item_93	Prima ascensione: Hochalmspitze 	Hochalmspitze	FALSE		Golden age of alpinism		First absolute ascent				15 agosto1859	1859	Paul Grohmann			Paul Grohmann			Wikipedia
item_94	Prima ascensione: Hochfrottspitze 	Hochfrottspitze	FALSE		Silver age of alpinism		First absolute ascent				1869	1869	Hermann von Barth			Hermann von Barth			Wikipedia
item_95	Prima ascensione: Hochplattig 	Hochplattig	FALSE		Silver age of alpinism		First absolute ascent				11 agosto1872	1872	Hermann von Barth			Hermann von Barth			Wikipedia
item_96	Prima ascensione: Hochwanner 	Hochwanner	FALSE		Silver age of alpinism		First absolute ascent				1870	1870	Hermann von Barth			Hermann von Barth			Wikipedia
item_97	Prima ascensione: Les Bans 	Les Bans	FALSE				First absolute ascent				14 luglio1878	1878	William Auguste Coolidgecon	Christian Almer, Ulrich Almer		William Auguste Coolidgecon, Christian Almer, Ulrich Almer			Wikipedia
item_98	Prima ascensione: Les Droites 	Les Droites	FALSE		Silver age of alpinism		First absolute ascent				7 agosto1876	1876	Thomas Middlemore, John Oakley	Henri Cordier, Johann Jaun, Andreas Maurer		Thomas Middlemore, John Oakley, Henri Cordier, Johann Jaun, Andreas Maurer			Wikipedia
item_99	Prima ascensione: Lyskamm 	Lyskamm	FALSE		Golden age of alpinism		First absolute ascent				19 agosto 1861	1861							Wikipedia
item_100	Prima ascensione: Lyskamm Orientale 	Lyskamm Orientale	FALSE		Golden age of alpinism		First absolute ascent				19 agosto 1861	1861							Wikipedia
item_101	Prima ascensione: Mädelegabel 	Mädelegabel	FALSE				First absolute ascent				1818	1818							Wikipedia
item_102	Prima ascensione: Moiazza 	Moiazza	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				1895	1895	Cesare Tomè			Cesare Tomè			Wikipedia
item_103	Prima ascensione: Monte Argentera 	Monte Argentera	FALSE		Silver age of alpinism		First absolute ascent				18 agosto1879	1879	William Auguste Coolidge	Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia
