pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Period_categorisation	Alpinist	Guide	Nationality	Expedition_members	Fonti_relazionate_membri	Fonti_primarie	Altri_riferimenti	Fonti	source
item_10	Prima ascensione: Monte Siera	Monte Siera	FALSE				Prima ascensione		 La prima ascensione alla cima del monte avvenne il 23 settembre 1880 ad opera di M. Hltzmann con la guida ampezzana Santo Siorpaes	23/09/1878	1878	silver age	Santo Siorpaes, Maurice Holzmann		Austro-German alpine expedition	Santo Siorpaes, Maurice Holzmann	Santo Siorpaes, Maurice Holzmann				Articolo Wikipedia[https://it.wikipedia.org/wiki/Monte_Siera]
item_11	Prima ascensione: Monte Terza Grande	Monte Terza Grande	FALSE				Prima ascensione		Fu salita per la prima volta il 25 settembre 1878 da Santo Siorpaes e Maurice Holzmann	25/09/1878	1878	silver age	Santo Siorpaes, Maurice Holzmann		Austro-German alpine expedition	Santo Siorpaes, Maurice Holzmann					Articolo Wikipedia[https://it.wikipedia.org/wiki/Monte_Terza_Grande]
item_12	Prima ascensione: Zinalrothorn	Zinalrothorn	FALSE		Golden age of alpinism		Prima ascensione		La prima ascensione alla vetta fu realizzata da Leslie Stephen e Florence Crauford Grove con le guide Jakob Anderegg e Melchior Anderegg da Zinal lungo la cresta nord il 22 agosto 1864.	22/08/1864	1864	golden age	Leslie Stephen, Florence Crauford Grove	Jakob Anderegg, Melchior Anderegg	British alpine expedition	Leslie Stephen, Florence Crauford Grove, Jakob Anderegg, Melchior Anderegg				Studer, Vol 2, pp. 257-9	Articolo Wikipedia[https://it.wikipedia.org/wiki/Zinalrothorn], Lista delle prime ascese[https://en.wikipedia.org/wiki/List_of_first_ascents_of_mountain_summits]
item_13	Prima ascensione: Ago di Sciora	Ago di Sciora	FALSE				Prima ascensione		La prima salita fu compiuta il 4 giugno 1893 dal russo Anton von Rydzewski con le guide Christian Klucker, engadinese di Fex, ed Emilio Rey, di Courmayeur. I tre salirono dal versante dell'Albigna e dalla parete sud della cuspide sommitale.	04/06/1893	1893	post	Anton von Rydzewski	C. Klucker, Émile Rey	International / mixed expedition	Anton von Rydzewski, C. Klucker, Émile Rey					Articolo Wikipedia[https://it.wikipedia.org/wiki/Ago_di_Sciora]
item_14	Prima ascensione: Aiguille d'Argentière	Aiguille d'Argentière	FALSE		Golden age of alpinism		Prima ascensione			15/07/1864	1864	golden age	Edward Whymper, Anthony Adams Reilly	Michel Croz, Michel-Clément Payot, Henri Charlet	British alpine expedition	Edward Whymper, Anthony Adams Reilly, Michel Croz, Michel-Clément Payot, Henri Charlet					Wikipedia
item_15	Prima ascensione: Aiguille de la Bérangère	Aiguille de la Bérangère	FALSE		Golden age of alpinism		Prima ascensione			01/08/1858	1858	golden age	Théodore Hare	Delphin Fournereaux	Franco-Swiss alpine expedition	Théodore Hare, Delphin Fournereaux				Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
item_16	Prima ascensione: Aiguille de Rochefort	Aiguille de Rochefort	FALSE		Silver age of alpinism		Prima ascensione			14/08/1873	1873	silver age	James Eccles	Alphons Payot, Michel-Clément Payot	British alpine expedition	James Eccles, Alphons Payot, Michel-Clément Payot				Renato Chabod, Lorenzo Grivel, Silvio Saglio e Gino Buscaini, Monte Bianco, vol. II, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1968.	Wikipedia
item_17	Prima ascensione: Aiguille Verte	Aiguille Verte	FALSE		Silver age of alpinism		Prima ascensione			29/06/1865	1865	golden age	Edward Whymper, Christian Almer, Franz Biner		British alpine expedition	Edward Whymper, Christian Almer, Franz Biner					Wikipedia, Wikipedia Table
item_18	Prima ascensione documentata: Ankogel	Ankogel	FALSE				Prima ascensione documentata	Conflicting Hypotheses		1762	1762	proto-alpinism	Farmer Patschg		Local guide-led ascent	Farmer Patschg				Erschliessung 3, 247-8	Wikipedia Table
item_19	Ipotesi sulla prima ascensione: Ankogel	Ankogel	FALSE				Ipotesi sulla prima ascensione	Conflicting Hypotheses		1742	1742	proto-alpinism			Local guide-led ascent						Wikipedia
item_20	Prima ascensione: Bietschhorn	Bietschhorn	FALSE		Golden age of alpinism		Prima ascensione			13/08/1859	1859	golden age	Johann Siegen, Joseph Aebener, Leslie Stephen      		British alpine expedition	Johann Siegen, Joseph Aebener, Leslie Stephen      				Stephen misspelled his guides as "Zügler" and "Appener"; Studer, Vol 1, pp. 212-6	Wikipedia, Wikipedia Table
item_21	Prima ascensione: Bifertenstock	Bifertenstock	FALSE		Golden age of alpinism		Prima ascensione			07/09/1863	1863	golden age			Local guide-led ascent						Wikipedia
item_22	Prima ascensione: Bric Bucie	Bric Bucie	FALSE		Silver age of alpinism		Prima ascensione			1876	1876	silver age			Local guide-led ascent						Wikipedia
item_23	Prima ascensione: Campo Tencia	Campo Tencia	FALSE		Silver age of alpinism		Prima ascensione			1867	1867	silver age	Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi	Peter Sulzere, Caveng	Franco-Swiss alpine expedition	Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi, Peter Sulzere, Caveng					Wikipedia
item_24	Prima ascensione: Cima di Nasta	Cima di Nasta	FALSE				Prima ascensione			1878	1878	silver age	Douglas William Freshfield		British alpine expedition	Douglas William Freshfield					Wikipedia
item_25	Prima ascensione: Cima Piazzi	Cima Piazzi	FALSE		Silver age of alpinism		Prima ascensione			21/08/1867	1867	silver age	Johann Jacob Weilenmann, Franz Pöll, Santo Romani		Austro-German alpine expedition	Johann Jacob Weilenmann, Franz Pöll, Santo Romani					Wikipedia
item_26	Prima ascensione: Crast' Agüzza	Crast' Agüzza	FALSE		Silver age of alpinism		Prima ascensione		per la cresta ovest	17/07/1865	1865	golden age	Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner		Austro-German alpine expedition	Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner					Wikipedia
item_27	Prima ascensione: Fluchthorn (Alpi Retiche occidentali)	Fluchthorn (Alpi Retiche occidentali)	FALSE		Golden age of alpinism		Prima ascensione			1862	1862	golden age	Johann Jakob Weilenmann, Franz Pöll		Austro-German alpine expedition	Johann Jakob Weilenmann, Franz Pöll					Wikipedia
item_28	Prima ascensione: Grand Cornier	Grand Cornier	FALSE		Silver age of alpinism		Prima ascensione			16/06/1865	1865	golden age	Edward Whymper, Christian Almer, Michel Croz, Franz Biner		British alpine expedition	Edward Whymper, Christian Almer, Michel Croz, Franz Biner					Wikipedia
item_29	Prima ascensione: La Ruinette	La Ruinette	FALSE		Silver age of alpinism		Prima ascensione			06/07/1865	1865	golden age	Edward Whymper	Christian Almer, Franz Biner	British alpine expedition	Edward Whymper, Christian Almer, Franz Biner					Wikipedia
item_30	Prima ascensione: Lasörling	Lasörling	FALSE		Golden age of alpinism		Prima ascensione			1861	1861	golden age	Karl von Sonklar		Austro-German alpine expedition	Karl von Sonklar					Wikipedia
item_31	Prima ascensione: Mont Blanc de Cheilon	Mont Blanc de Cheilon	FALSE		Silver age of alpinism		Prima ascensione			11/09/1865	1865	golden age	Johann Jakob Weilenmann, Justin Felley		Austro-German alpine expedition	Johann Jakob Weilenmann, Justin Felley					Wikipedia
item_32	Prima ascensione: Mont Pourri	Mont Pourri	FALSE		Golden age of alpinism		Prima ascensione			04/10/1861	1861	golden age	Michel Croz		Franco-Swiss alpine expedition	Michel Croz					Wikipedia Table
item_33	Prima ascensione: Monte Caplone	Monte Caplone	FALSE				Prima ascensione			12/04/1903	1903	post	Hans Reinl	torrione a Cima Büs de Balì	Austro-German alpine expedition	Hans Reinl, torrione a Cima Büs de Balì					Wikipedia
item_34	Prima ascensione: Palla Bianca	Palla Bianca	FALSE				Prima ascensione			1850	1850	proto-alpinism	Josef Anton Specht, Leander Klotz e Nicodem Klotz		Austro-German alpine expedition	Josef Anton Specht, Leander Klotz e Nicodem Klotz					Wikipedia
item_35	Prima ascensione: Parseierspitze	Parseierspitze	FALSE		Silver age of alpinism		Prima ascensione			1869	1869	silver age	Joseph Anton Specht, Peter Siess		Austro-German alpine expedition	Joseph Anton Specht, Peter Siess					Wikipedia
item_36	Prima ascensione: Piz Bacun	Piz Bacun	FALSE				Prima ascensione			1883	1883	post	Theodor Curtius, Christian Klucker, Johann Eggenberger		Austro-German alpine expedition	Theodor Curtius, Christian Klucker, Johann Eggenberger					Wikipedia
item_37	Prima ascensione: Piz Buin	Piz Buin	FALSE		Silver age of alpinism		Prima ascensione			14 Jul 1865	1865	golden age	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll		Austro-German alpine expedition	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll				Erschliessung 2, 10-12	Wikipedia, Wikipedia Table
item_38	Prima ascensione: Pizzi Gemelli	Pizzi Gemelli	FALSE				Prima ascensione			09/06/1892	1892	post	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker	International / mixed expedition	Anton von Rydzewski, Mansueto Barbaria, Christian Klucker					Wikipedia
item_39	Prima ascensione: Punta Sulè	Punta Sulè	FALSE		Silver age of alpinism		Prima ascensione			16/08/1880	1880	silver age	Filippo Vallino		Italian alpine expedition	Filippo Vallino				G.Berutto, Valli di Lanzo e Moncenisio, Istituto Geografico Centrale, 1996.	Wikipedia
item_40	Prima ascensione: Punta Whymper	Punta Whymper	FALSE		Silver age of alpinism		Prima ascensione			24/06/1865	1865	golden age	Edward Whymper	Michel Croz, Christian Almer, Franz Biner	British alpine expedition	Edward Whymper, Michel Croz, Christian Almer, Franz Biner					Wikipedia
item_41	Prima ascensione: Sciora di Fuori	Sciora di Fuori	FALSE				Prima ascensione			06/07/1892	1892	post	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker	International / mixed expedition	Anton von Rydzewski, Mansueto Barbaria, Christian Klucker					Wikipedia
item_42	Prima ascensione: Sustenhorn	Sustenhorn	FALSE				Prima ascensione			07/08/1841	1841	proto-alpinism	Gottlieb Samuel Studer		Franco-Swiss alpine expedition	Gottlieb Samuel Studer					Wikipedia
item_43	Prima ascensione: Wildhorn	Wildhorn	FALSE				Prima ascensione			01/09/1843	1843	proto-alpinism	Gottlieb Samuel Studer		Franco-Swiss alpine expedition	Gottlieb Samuel Studer					Wikipedia
item_44	Prima ascensione: Grand Nomenon	Grand Nomenon	FALSE		Silver age of alpinism		Prima ascensione			25/06/1877	1877	silver age	Felice Montaldo, Antonio Boggiatto, Antonio Castagneri		Italian alpine expedition	Felice Montaldo, Antonio Boggiatto, Antonio Castagneri		<iframe src="https://caisidoc.cai.it:443/opac/detail/badge/mnmt:catalog:108882?height=250&showabstract=0&coversize=normal" frameborder="0" width="600" height="250"></iframe>			Wikipedia
item_45	Prima ascensione: Adula	Adula	FALSE				Prima ascensione			01/06/1789	1789	proto-alpinism	Placidus a Spescha		Franco-Swiss alpine expedition	Placidus a Spescha					Wikipedia
item_46	Prima ascensione: Angerstein	Angerstein	FALSE				Prima ascensione			28/10/1888	1888	post	Ludwig Purtscheller		Austro-German alpine expedition	Ludwig Purtscheller					Wikipedia
item_47	Prima ascensione: Becco Alto d'Ischiator	Becco Alto d'Ischiator	FALSE				Prima ascensione			28/06/1890	1890	post	Ludwig Purtscheller		Austro-German alpine expedition	Ludwig Purtscheller					Wikipedia
item_48	Prima ascensione: Cima di Valmora (E)	Cima di Valmora (E)	FALSE				Prima ascensione			1948	1948	post	Leone Pellicioli		Italian alpine expedition	Leone Pellicioli					Wikipedia
item_49	Prima ascensione: Flachkogel Niederer	Flachkogel Niederer	FALSE				Prima ascensione			28/10/1888	1888	post	Ludwig Purtscheller		Austro-German alpine expedition	Ludwig Purtscheller					Wikipedia
item_50	Prima ascensione: Grande Roise	Grande Roise	FALSE				Prima ascensione			17 luglio 1875[1]	1875	silver age	Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel		International / mixed expedition	Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel					Wikipedia
item_51	Prima ascensione: Jôf Fuârt	Jôf Fuârt	FALSE				Prima ascensione			1891	1891	post	Julius Kugy		Austro-German alpine expedition	Julius Kugy					Wikipedia
item_52	Prima ascensione: Kanjavec	Kanjavec	FALSE		Silver age of alpinism		Prima ascensione			18/08/1877	1877	silver age	Julius Kugy		Austro-German alpine expedition	Julius Kugy					Wikipedia
item_53	Prima ascensione: Monte Coglians	Monte Coglians	FALSE		Silver age of alpinism		Prima ascensione			30/09/1865	1865	golden age	Paul Grohmann		Austro-German alpine expedition	Paul Grohmann	Grohmann, Paul <1838-1908> - Ascensioni alpinistiche - Dolomiti - Sec. 19. Wanderungen in den Dolomiten[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:12002]|Grohmann, Paul <1838-1908> - La scoperta delle Dolomiti 1862[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:10882]|Sposito, Livio. Paul Grohmann : guida biografica alle sue vie[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:127829]|[Ritratto di] Paul Grohmann[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:110671]				Wikipedia
item_54	Prima ascensione: Piz Terri	Piz Terri	FALSE				Prima ascensione			1798	1798	proto-alpinism	Placidus a Spescha		Franco-Swiss alpine expedition	Placidus a Spescha					Wikipedia
item_55	Prima ascensione: Tour Real	Tour Real	FALSE				Prima ascensione			19/09/1899	1899	post	Michele Celestino Bes		Italian alpine expedition	Michele Celestino Bes					Wikipedia
item_56	Prima ascensione: Visolotto	Visolotto	FALSE		Silver age of alpinism		Prima ascensione			04/09/1875	1875	silver age	Felice Montaldo, Antonio Castagneri, Francesco Perotti		Italian alpine expedition	Felice Montaldo, Antonio Castagneri, Francesco Perotti		<iframe src="https://caisidoc.cai.it:443/opac/detail/badge/mnmt:catalog:108881?height=250&showabstract=0&coversize=normal" frameborder="0" width="600" height="250"></iframe>			Wikipedia
item_57	Prima ascensione: Adamello (monte)	Adamello (monte)	FALSE		Golden age of alpinism		Prima ascensione			15/09/1864	1864	golden age	Julius von Payer	Giovanni Caturani	Austro-German alpine expedition	Julius von Payer, Giovanni Caturani					Wikipedia, Wikipedia Table
item_58	Prima ascensione: Aiguille de Chambeyron	Aiguille de Chambeyron	FALSE		Silver age of alpinism		Prima ascensione			28/07/1879	1879	silver age	William Auguste Coolidge, Christian Almer, Ulrich Almer		British alpine expedition	William Auguste Coolidge, Christian Almer, Ulrich Almer				Michelangelo Bruno, Monte Viso, Alpi Cozie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1987.	Wikipedia
item_59	Prima ascensione: Aiguille du Moine	Aiguille du Moine	FALSE		Silver age of alpinism		Prima ascensione			22/09/1871	1871	silver age	Isabella Straton, Emmeline Lewis Lloyd	Joseph Simond, Jean-Estéril Charlet	British alpine expedition	Isabella Straton, Emmeline Lewis Lloyd, Joseph Simond, Jean-Estéril Charlet					Wikipedia
item_60	Prima ascensione: Aiguille du Plan	Aiguille du Plan	FALSE		Silver age of alpinism		Prima ascensione			1871	1871	silver age	James Eccles	Alphonse Payot, Michel-Clément Payot	British alpine expedition	James Eccles, Alphonse Payot, Michel-Clément Payot					Wikipedia
item_61	Prima ascensione: Aiguilles Septentrionale d'Arves	Aiguilles Septentrionale d'Arves	FALSE				Prima ascensione			2 Sep 1839	1839	proto-alpinism	Pierre Alexis Magnin, Benoît Nicolas Magnin		Franco-Swiss alpine expedition	Pierre Alexis Magnin, Benoît Nicolas Magnin				Benoît Nicolas Magnin, The Ascent of the Central Aiguille d'Arves, AJ, Volume 18, 1895, pp 165-8.	Wikipedia Table
item_62	Prima ascensione: Aiguilles Centrale d'Arves	Aiguilles Centrale d'Arves	FALSE				Prima ascensione			1878	1878	silver age	William Auguste Coolidge		British alpine expedition	William Auguste Coolidge					Wikipedia
item_63	Prima ascensione: Aiguilles de Trélatête	Aiguilles de Trélatête	FALSE		Golden age of alpinism		Prima ascensione			12/07/1864	1864	golden age	Anthony Adams Reilly, Edward Whymper	Michel Croz, Michel-Clément Payot, Henri Charlet	British alpine expedition	Anthony Adams Reilly, Edward Whymper, Michel Croz, Michel-Clément Payot, Henri Charlet				F. F. Tuckett (1862) The Ascent of the Aletschhorn in Peaks, Passes, and Glaciers, pp. 33-72	Wikipedia, Wikipedia Table
item_64	Prima ascensione: Aiguilles Dorées	Aiguilles Dorées	FALSE				Prima ascensione			30/08/1892	1892	post	Valère Alfred Fynne William J. Murphy		British alpine expedition	Valère Alfred Fynne William J. Murphy					Wikipedia
item_65	Prima ascensione: Ailefroide	Ailefroide	FALSE		Silver age of alpinism		Prima ascensione			07/07/1870	1870	silver age	William Auguste Coolidge, Christian Almer, Ulrich Almer		British alpine expedition	William Auguste Coolidge, Christian Almer, Ulrich Almer					Wikipedia, Wikipedia Table
item_66	Prima ascensione: Aletschhorn	Aletschhorn	FALSE		Golden age of alpinism		Prima ascensione			18/06/1859	1859	golden age	Francis Fox Tuckett	Johann Joseph Bennen, Peter Bohren, Vistor Tairraz	British alpine expedition	Francis Fox Tuckett, Johann Joseph Bennen, Peter Bohren, Vistor Tairraz					Wikipedia
item_67	Prima ascensione: Antelao	Antelao	FALSE		Golden age of alpinism		Prima ascensione			18 Sep 1863	1863	golden age	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, Matteo Ossi	Concurring Hypothesis	Austro-German alpine expedition	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, Matteo Ossi, Concurring Hypothesis	Grohmann, Paul <1838-1908> - Ascensioni alpinistiche - Dolomiti - Sec. 19. Wanderungen in den Dolomiten[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:12002]|Grohmann, Paul <1838-1908> - La scoperta delle Dolomiti 1862[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:10882]|Sposito, Livio. Paul Grohmann : guida biografica alle sue vie[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:127829]|[Ritratto di] Paul Grohmann[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:110671]				Wikipedia, Wikipedia Table
item_68	Prima ascensione: Antelao	Antelao	FALSE		Prime Ascensioni sulle Dolomiti		Prima ascensione			1850	1850	proto-alpinism	Matteo Ossi	Concurring Hypothesis	Local guide-led ascent	Matteo Ossi, Concurring Hypothesis					Wikipedia (Italian Article)
item_69	Prima ascensione: Becca di Suessa	Becca di Suessa	FALSE				Prima ascensione			02/09/1889	1889	post	William Auguste Coolidge, Ulrich Almer		British alpine expedition	William Auguste Coolidge, Ulrich Almer					Wikipedia
item_70	Prima ascensione: Birkkarspitze	Birkkarspitze	FALSE		Silver age of alpinism		Prima ascensione			06/07/1870	1870	silver age	Hermann von Barth		Austro-German alpine expedition	Hermann von Barth					Wikipedia
item_71	Prima ascensione: Catinaccio d'Antermoia	Catinaccio d'Antermoia	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione			31/08/1872	1872	silver age	Charles Comyns Tucker, T.H. Carson, Luigi Bernard		British alpine expedition	Charles Comyns Tucker, T.H. Carson, Luigi Bernard					Wikipedia
item_72	Prima ascensione: Cima Brenta	Cima Brenta	FALSE		Silver age of alpinism		Prima ascensione			01/08/1871	1871	silver age	Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud		British alpine expedition	Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud					Wikipedia
item_73	Prima ascensione: Cima Canali	Cima Canali	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione			30/08/1879	1879	silver age	Michele Bettega, Charles Comyns Tucker		British alpine expedition	Michele Bettega, Charles Comyns Tucker					Wikipedia
item_74	Prima ascensione: Cima dell'Uomo (Dolomiti)	Cima dell'Uomo (Dolomiti)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione			17/07/1879	1879	silver age	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard		Austro-German alpine expedition	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard					Wikipedia
