pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
item_67	Event on Antelao 	Antelao	FALSE		Golden age of alpinism		First absolute ascent			18 Sep 1863	1863	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi	Concurring Hypothesis	Austria, Italy	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi, Concurring Hypothesis		Wikipedia, Wikipedia Table
item_68	Event on Antelao 	Antelao	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1850	1850	Matteo Ossi	Concurring Hypothesis	Italy	Matteo Ossi, Concurring Hypothesis		Wikipedia (Italian Article)
item_69	Event on Becca di Suessa 	Becca di Suessa	FALSE				First absolute ascent			2 settembre1889	1889	William Auguste Coolidge, Ulrich Almer			William Auguste Coolidge, Ulrich Almer		Wikipedia
item_70	Event on Birkkarspitze 	Birkkarspitze	FALSE		Silver age of alpinism		First absolute ascent			6 luglio1870	1870	Hermann von Barth			Hermann von Barth		Wikipedia
item_71	Event on Catinaccio d'Antermoia 	Catinaccio d'Antermoia	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			31 agosto1872	1872	Charles Comyns Tucker, T.H. Carson, Luigi Bernard			Charles Comyns Tucker, T.H. Carson, Luigi Bernard		Wikipedia
item_72	Event on Cima Brenta 	Cima Brenta	FALSE		Silver age of alpinism		First absolute ascent			agosto 1871	1871	Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud			Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud		Wikipedia
item_73	Event on Cima Canali 	Cima Canali	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			30 agosto1879	1879	Michele Bettega, Charles Comyns Tucker			Michele Bettega, Charles Comyns Tucker		Wikipedia
item_74	Event on Cima dell'Uomo (Dolomiti) 	Cima dell'Uomo (Dolomiti)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			17 luglio 1879	1879	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard		Wikipedia
item_75	Event on Cima Mongioia 	Cima Mongioia	FALSE				First absolute ascent			20 luglio1878	1878	Paul Agnel, Joseph Risoul			Paul Agnel, Joseph Risoul		Wikipedia
item_76	Event on Cima Sternai 	Cima Sternai	FALSE		Silver age of alpinism		First absolute ascent			30 luglio1868	1868	Julius von Payer, Johann Pinggera			Julius von Payer, Johann Pinggera		Wikipedia
item_77	Event on Cima Undici 	Cima Undici	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1878	1878	Michel Innerkofler			Michel Innerkofler		Wikipedia
item_78	Event on Cima Vertana 	Cima Vertana	FALSE		Silver age of alpinism		First absolute ascent			28 agosto 1865	1865	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera		Wikipedia
item_79	Event on Cresta Gastaldi 	Cresta Gastaldi	FALSE				First absolute ascent			12 agosto 1888	1888	William Auguste Coolidge, George Yeld	Christian Almer junior, Rodolphe Almer		William Auguste Coolidge, George Yeld, Christian Almer junior, Rodolphe Almer	[1]	Wikipedia
item_80	Event on Croce Rossa (monte) 	Croce Rossa (monte)	FALSE		Golden age of alpinism		First absolute ascent			1857	1857	Antonio Tonini			Antonio Tonini	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980.	Wikipedia
item_81	Event on Croda da Lago 	Croda da Lago	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19 luglio1884	1884	Michel Innerkofler			Michel Innerkofler		Wikipedia
item_82	Event on Croda dei Toni 	Croda dei Toni	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			28 settembre1874	1874	Michel Innerkofler, Johann Innerkofler			Michel Innerkofler, Johann Innerkofler		Wikipedia
item_83	Event on Croda delle Cornacchie 	Croda delle Cornacchie	FALSE				First absolute ascent			1853	1853						Wikipedia
item_84	Event on Croda Rossa di Sesto 	Croda Rossa di Sesto	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			20 luglio1878	1878	Michel Innerkofler, Loránd Eötvös			Michel Innerkofler, Loránd Eötvös		Wikipedia
item_85	Event on Crozzon di Lares 	Crozzon di Lares	FALSE		Silver age of alpinism		First absolute ascent			3 settembre1868	1868	Julius von Payer			Julius von Payer		Wikipedia
item_86	Event on Dôme de Rochefort 	Dôme de Rochefort	FALSE		Silver age of alpinism		First absolute ascent			12 agosto1881	1881	James Eccles, Alphonse Payot, Michel-Clément Payot			James Eccles, Alphonse Payot, Michel-Clément Payot		Wikipedia
item_87	Event on Grand Tournalin 	Grand Tournalin	FALSE		Golden age of alpinism		First absolute ascent			8 agosto1863	1863	Edward Whymper, Jean-Antoine Carrel			Edward Whymper, Jean-Antoine Carrel		Wikipedia
item_88	Event on Grande Mèsule 	Grande Mèsule	FALSE		Silver age of alpinism		First absolute ascent			16 giugno1865	1865	George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel			George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel		Wikipedia
item_89	Event on Grande Ruine 	Grande Ruine	FALSE		Silver age of alpinism		First absolute ascent			19 luglio1873	1873	Mademoiselle Brevoort, William Auguste Coolidge	guide		Mademoiselle Brevoort, William Auguste Coolidge, guide		Wikipedia
item_90	Event on Grande Traversière 	Grande Traversière	FALSE				First absolute ascent			24 agosto1885	1885	William Auguste Coolidgecon, Ulrich Almer			William Auguste Coolidgecon, Ulrich Almer	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_91	Event on Großvenediger 	Großvenediger	FALSE				First absolute ascent			3 Sep 1841	1841	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others		Austria	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others		Wikipedia, Wikipedia Table
item_92	Event on Helsenhorn 	Helsenhorn	FALSE				First absolute ascent			26 luglio 1891	1891	William Auguste Coolidge	Christian e Rudolf Almer		William Auguste Coolidge, Christian e Rudolf Almer	Erschliessung 3, 134-136	Wikipedia
item_93	Event on Hochalmspitze 	Hochalmspitze	FALSE		Golden age of alpinism		First absolute ascent			15 agosto1859	1859	Paul Grohmann			Paul Grohmann		Wikipedia
item_94	Event on Hochfrottspitze 	Hochfrottspitze	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Hermann von Barth			Hermann von Barth		Wikipedia
item_95	Event on Hochplattig 	Hochplattig	FALSE		Silver age of alpinism		First absolute ascent			11 agosto1872	1872	Hermann von Barth			Hermann von Barth		Wikipedia
item_96	Event on Hochwanner 	Hochwanner	FALSE		Silver age of alpinism		First absolute ascent			1870	1870	Hermann von Barth			Hermann von Barth		Wikipedia
item_97	Event on Les Bans 	Les Bans	FALSE				First absolute ascent			14 luglio1878	1878	William Auguste Coolidgecon	Christian Almer, Ulrich Almer		William Auguste Coolidgecon, Christian Almer, Ulrich Almer		Wikipedia
item_98	Event on Les Droites 	Les Droites	FALSE		Silver age of alpinism		First absolute ascent			7 agosto1876	1876	Thomas Middlemore, John Oakley	Henri Cordier, Johann Jaun, Andreas Maurer		Thomas Middlemore, John Oakley, Henri Cordier, Johann Jaun, Andreas Maurer		Wikipedia
item_99	Event on Lyskamm 	Lyskamm	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861						Wikipedia
item_100	Event on Lyskamm Orientale 	Lyskamm Orientale	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861						Wikipedia
item_101	Event on Mädelegabel 	Mädelegabel	FALSE				First absolute ascent			1818	1818						Wikipedia
item_102	Event on Moiazza 	Moiazza	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1895	1895	Cesare Tomè			Cesare Tomè		Wikipedia
item_103	Event on Monte Argentera 	Monte Argentera	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1879	1879	William Auguste Coolidge	Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
item_104	Event on Monte Bianco 	Monte Bianco	FALSE				First absolute ascent			8 agosto1786	1786	Jacques Balmat, Michel Gabriel Paccard			Jacques Balmat, Michel Gabriel Paccard		Wikipedia
item_105	Event on Monte Breithorn 	Monte Breithorn	FALSE				First absolute ascent			13 Aug 1813	1813	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin		Switzerland	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin	Studer, Vol 2, pp. 301-3	Wikipedia, Wikipedia Table
item_106	Event on Monte Calisio 	Monte Calisio	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			I secolo a.C.							Wikipedia
item_107	Event on Monte Cristallo 	Monte Cristallo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			14 settembre1865	1865	Paul Grohmann, Angelo Dimai, Santo Siorpaes			Paul Grohmann, Angelo Dimai, Santo Siorpaes		Wikipedia
item_108	Event on Monte Dolent 	Monte Dolent	FALSE		Golden age of alpinism		First absolute ascent			9 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Henri Charlet, Michel-Clément Payot		Anthony Adams Reilly, Edward Whymper, Michel Croz, Henri Charlet, Michel-Clément Payot		Wikipedia
item_109	Event on Monte Emilius 	Monte Emilius	FALSE				First absolute ascent			1826	1826	Georges Carrel			Georges Carrel		Wikipedia
item_110	Event on Monte Gleno 	Monte Gleno	FALSE		Silver age of alpinism		First absolute ascent			1873	1873	Douglas William Freshfield, François Devouassoud			Douglas William Freshfield, François Devouassoud	Angelo Gamba, Antonio Baroni, la guida alpina, Comune di San Pellegrino Terme, 2002, p. 5.	Wikipedia
item_111	Event on Monte Lovello 	Monte Lovello	FALSE				First absolute ascent			12 settembre1843	1843	Markus Vincent Lipold			Markus Vincent Lipold		Wikipedia
item_112	Event on Monte Matto 	Monte Matto	FALSE		Silver age of alpinism		First absolute ascent			14 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
item_113	Event on Monte Serva 	Monte Serva	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			17 settembre1878	1878						Wikipedia
item_114	Event on Monte Turia 	Monte Turia	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1874	1874	William Coolidge, Meta Brevoort, Christian Almer			William Coolidge, Meta Brevoort, Christian Almer		Wikipedia
item_115	Event on Monte Vélan 	Monte Vélan	FALSE				First absolute ascent			31 agosto 1779	1779	Laurent Joseph Murith and two hunters from Liddes		Switzerland	Laurent Joseph Murith and two hunters from Liddes	Studer, Vol 2, pp. 467-8	Wikipedia Table
item_116	Event on Monte Vioz 	Monte Vioz	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Julius von Payer, Antonio Chiesa, Johann Pinggera			Julius von Payer, Antonio Chiesa, Johann Pinggera		Wikipedia
item_117	Event on Monte Zebrù 	Monte Zebrù	FALSE		Silver age of alpinism		First absolute ascent			29 settembre 1866	1866	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera		Wikipedia
