pivot_ID	event_name	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
44	Adula	FALSE				First absolute ascent			01/06/1789	1789	Placidus a Spescha			Placidus a Spescha		Wikipedia
45	Angerstein	FALSE				First absolute ascent			28 ottobre 1888	1888	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
46	Becco Alto d'Ischiator	FALSE				First absolute ascent			28 giugno1890	1890	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
47	Cima di Valmora (E)	FALSE				First absolute ascent			1948	1948	Leone Pellicioli			Leone Pellicioli		Wikipedia
48	Flachkogel Niederer	FALSE				First absolute ascent			28/10/1888	1888	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
49	Grande Roise	FALSE				First absolute ascent			17 luglio 1875[1]	5[1]	Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel			Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel		Wikipedia
50	Jôf Fuârt	FALSE				First absolute ascent			1891	1891	Julius Kugy			Julius Kugy		Wikipedia
51	Kanjavec	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1877	1877	Julius Kugy			Julius Kugy		Wikipedia
52	Monte Coglians	FALSE		Silver age of alpinism		First absolute ascent			30 settembre1865	1865	Paul Grohmann			Paul Grohmann		Wikipedia
53	Piz Terri	FALSE				First absolute ascent			1798	1798	Placidus a Spescha			Placidus a Spescha		Wikipedia
54	Tour Real	FALSE				First absolute ascent			19 settembre 1899	1899	Michele Celestino Bes			Michele Celestino Bes		Wikipedia
55	Visolotto	FALSE		Silver age of alpinism		First absolute ascent			4 settembre1875	1875	Felice Montaldo, Antonio Castagneri, Francesco Perotti			Felice Montaldo, Antonio Castagneri, Francesco Perotti		Wikipedia
56	Adamello (monte)	FALSE		Golden age of alpinism		First absolute ascent			15/09/1864	1864	Julius von Payer	Giovanni Caturani	Austria	Julius von Payer, Giovanni Caturani		Wikipedia, Wikipedia Table
57	Aiguille de Chambeyron	FALSE		Silver age of alpinism		First absolute ascent			28/07/1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer	Michelangelo Bruno, Monte Viso, Alpi Cozie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1987.	Wikipedia
58	Aiguille du Moine	FALSE		Silver age of alpinism		First absolute ascent			22 settembre 1871	1871	Isabella Straton, Emmeline Lewis Lloyd	Joseph Simond, Jean-Estéril Charlet		Isabella Straton, Emmeline Lewis Lloyd, Joseph Simond, Jean-Estéril Charlet		Wikipedia
59	Aiguille du Plan	FALSE		Silver age of alpinism		First absolute ascent			1871	1871	James Eccles	Alphonse Payot, Michel-Clément Payot		James Eccles, Alphonse Payot, Michel-Clément Payot		Wikipedia
59b	Aiguilles Septentrionale d'Arves	FALSE				First absolute ascent			2 Sep 1839	1839	Pierre Alexis Magnin, Benoît Nicolas Magnin		France	Pierre Alexis Magnin, Benoît Nicolas Magnin	Benoît Nicolas Magnin, The Ascent of the Central Aiguille d'Arves, AJ, Volume 18, 1895, pp 165-8.	Wikipedia Table
60	Aiguilles Centrale d'Arves	FALSE				First absolute ascent			1878	1878	William Auguste Coolidge			William Auguste Coolidge		Wikipedia
61	Aiguilles de Trélatête	FALSE		Golden age of alpinism		First absolute ascent			12 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Michel-Clément Payot, Henri Charlet	France, Switzerland, England	Anthony Adams Reilly, Edward Whymper, Michel Croz, Michel-Clément Payot, Henri Charlet	F. F. Tuckett (1862) The Ascent of the Aletschhorn in Peaks, Passes, and Glaciers, pp. 33-72	Wikipedia, Wikipedia Table
62	Aiguilles Dorées	FALSE				First absolute ascent			30 agosto 1892	1892	Valère Alfred Fynne William J. Murphy			Valère Alfred Fynne William J. Murphy		Wikipedia
63	Ailefroide	FALSE		Silver age of alpinism		First absolute ascent			7 luglio1870	1870	William Auguste Coolidge, Christian Almer, Ulrich Almer		Switzerland, America	William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia, Wikipedia Table
64	Aletschhorn	FALSE		Golden age of alpinism		First absolute ascent			18 giugno 1859	1859	Francis Fox Tuckett	Johann Joseph Bennen, Peter Bohren, Vistor Tairraz		Francis Fox Tuckett, Johann Joseph Bennen, Peter Bohren, Vistor Tairraz		Wikipedia
65	Antelao	FALSE		Golden age of alpinism		First absolute ascent			18 Sep 1863	1863	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi		Austria, Italy	Paul Grohmann, Francesco Lacedelli, Alessandro Lacedelli, and Matteo Ossi		Wikipedia, Wikipedia Table
65	Antelao	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1850	1850	Matteo Ossi		Italy	Matteo Ossi		Wikipedia (Italian Article)
66	Becca di Suessa	FALSE				First absolute ascent			2 settembre1889	1889	William Auguste Coolidge, Ulrich Almer			William Auguste Coolidge, Ulrich Almer		Wikipedia
67	Birkkarspitze	FALSE		Silver age of alpinism		First absolute ascent			6 luglio1870	1870	Hermann von Barth			Hermann von Barth		Wikipedia
68	Catinaccio d'Antermoia	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			31 agosto1872	1872	Charles Comyns Tucker, T.H. Carson, Luigi Bernard			Charles Comyns Tucker, T.H. Carson, Luigi Bernard		Wikipedia
69	Cima Brenta	FALSE		Silver age of alpinism		First absolute ascent			agosto 1871	1871	Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud			Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud		Wikipedia
70	Cima Canali	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			30 agosto1879	1879	Michele Bettega, Charles Comyns Tucker			Michele Bettega, Charles Comyns Tucker		Wikipedia
71	Cima dell'Uomo (Dolomiti)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			17 luglio 1879	1879	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Battista Bernard		Wikipedia
72	Cima Mongioia	FALSE				First absolute ascent			20 luglio1878	1878	Paul Agnel, Joseph Risoul			Paul Agnel, Joseph Risoul		Wikipedia
73	Cima Sternai	FALSE		Silver age of alpinism		First absolute ascent			30 luglio1868	1868	Julius von Payer, Johann Pinggera			Julius von Payer, Johann Pinggera		Wikipedia
74	Cima Undici	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1878	1878	Michel Innerkofler			Michel Innerkofler		Wikipedia
75	Cima Vertana	FALSE		Silver age of alpinism		First absolute ascent			28 agosto 1865	1865	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera		Wikipedia
76	Cresta Gastaldi	FALSE				First absolute ascent			12 agosto 1888	1888	William Auguste Coolidge, George Yeld	Christian Almer junior, Rodolphe Almer		William Auguste Coolidge, George Yeld, Christian Almer junior, Rodolphe Almer	[1]	Wikipedia
77	Croce Rossa (monte)	FALSE		Golden age of alpinism		First absolute ascent			1857	1857	Antonio Tonini			Antonio Tonini	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980.	Wikipedia
78	Croda da Lago	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19 luglio1884	1884	Michel Innerkofler			Michel Innerkofler		Wikipedia
79	Croda dei Toni	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			28 settembre1874	1874	Michel Innerkofler, Johann Innerkofler			Michel Innerkofler, Johann Innerkofler		Wikipedia
80	Croda delle Cornacchie	FALSE				First absolute ascent			1853	1853						Wikipedia
81	Croda Rossa di Sesto	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			20 luglio1878	1878	Michel Innerkofler, Loránd Eötvös			Michel Innerkofler, Loránd Eötvös		Wikipedia
82	Crozzon di Lares	FALSE		Silver age of alpinism		First absolute ascent			3 settembre1868	1868	Julius von Payer			Julius von Payer		Wikipedia
83	Dôme de Rochefort	FALSE		Silver age of alpinism		First absolute ascent			12 agosto1881	1881	James Eccles, Alphonse Payot, Michel-Clément Payot			James Eccles, Alphonse Payot, Michel-Clément Payot		Wikipedia
84	Grand Tournalin	FALSE		Golden age of alpinism		First absolute ascent			8 agosto1863	1863	Edward Whymper, Jean-Antoine Carrel			Edward Whymper, Jean-Antoine Carrel		Wikipedia
85	Grande Mèsule	FALSE		Silver age of alpinism		First absolute ascent			16 giugno1865	1865	George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel			George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel		Wikipedia
86	Grande Ruine	FALSE		Silver age of alpinism		First absolute ascent			19 luglio1873	1873	Mademoiselle Brevoort, William Auguste Coolidge	guide		Mademoiselle Brevoort, William Auguste Coolidge, guide		Wikipedia
87	Grande Traversière	FALSE				First absolute ascent			24 agosto1885	1885	William Auguste Coolidgecon, Ulrich Almer			William Auguste Coolidgecon, Ulrich Almer	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
88	Großvenediger	FALSE				First absolute ascent			3 Sep 1841	1841	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others		Austria	Josef Schwab, Paul Rohregger, Christian Rieß, Peter Meilinger, Ignaz Kürsinger [de], Anton Ruthner [de], Franz Spitaler and 17 others		Wikipedia, Wikipedia Table
89	Helsenhorn	FALSE				First absolute ascent			26 luglio 1891	1891	William Auguste Coolidge	Christian e Rudolf Almer		William Auguste Coolidge, Christian e Rudolf Almer	Erschliessung 3, 134-136	Wikipedia
90	Hochalmspitze	FALSE		Golden age of alpinism		First absolute ascent			15 agosto1859	1859	Paul Grohmann			Paul Grohmann		Wikipedia
91	Hochfrottspitze	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Hermann von Barth			Hermann von Barth		Wikipedia
92	Hochplattig	FALSE		Silver age of alpinism		First absolute ascent			11 agosto1872	1872	Hermann von Barth			Hermann von Barth		Wikipedia
93	Hochwanner	FALSE		Silver age of alpinism		First absolute ascent			1870	1870	Hermann von Barth			Hermann von Barth		Wikipedia
94	Les Bans	FALSE				First absolute ascent			14 luglio1878	1878	William Auguste Coolidgecon	Christian Almer, Ulrich Almer		William Auguste Coolidgecon, Christian Almer, Ulrich Almer		Wikipedia
95	Les Droites	FALSE		Silver age of alpinism		First absolute ascent			7 agosto1876	1876	Thomas Middlemore, John Oakley	Henri Cordier, Johann Jaun, Andreas Maurer		Thomas Middlemore, John Oakley, Henri Cordier, Johann Jaun, Andreas Maurer		Wikipedia
96	Lyskamm	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861						Wikipedia
97	Lyskamm Orientale	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861						Wikipedia
98	Mädelegabel	FALSE				First absolute ascent			1818	1818						Wikipedia
99	Moiazza	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1895	1895	Cesare Tomè			Cesare Tomè		Wikipedia
100	Monte Argentera	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1879	1879	William Auguste Coolidge	Christian Almer, Ulrich Almer		William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
101	Monte Bianco	FALSE				First absolute ascent			8 agosto1786	1786	Jacques Balmat, Michel Gabriel Paccard			Jacques Balmat, Michel Gabriel Paccard		Wikipedia
102	Monte Breithorn	FALSE				First absolute ascent			13 Aug 1813	1813	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin		Switzerland	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin	Studer, Vol 2, pp. 301-3	Wikipedia, Wikipedia Table
103	Monte Calisio	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			I secolo a.C.							Wikipedia
104	Monte Cristallo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			14 settembre1865	1865	Paul Grohmann, Angelo Dimai, Santo Siorpaes			Paul Grohmann, Angelo Dimai, Santo Siorpaes		Wikipedia
105	Monte Dolent	FALSE		Golden age of alpinism		First absolute ascent			9 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Henri Charlet, Michel-Clément Payot		Anthony Adams Reilly, Edward Whymper, Michel Croz, Henri Charlet, Michel-Clément Payot		Wikipedia
106	Monte Emilius	FALSE				First absolute ascent			1826	1826	Georges Carrel			Georges Carrel		Wikipedia
107	Monte Gleno	FALSE		Silver age of alpinism		First absolute ascent			1873	1873	Douglas William Freshfield, François Devouassoud			Douglas William Freshfield, François Devouassoud	Angelo Gamba, Antonio Baroni, la guida alpina, Comune di San Pellegrino Terme, 2002, p. 5.	Wikipedia
108	Monte Lovello	FALSE				First absolute ascent			12 settembre1843	1843	Markus Vincent Lipold			Markus Vincent Lipold		Wikipedia
109	Monte Matto	FALSE		Silver age of alpinism		First absolute ascent			14 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
110	Monte Serva	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			17 settembre1878	1878						Wikipedia
111	Monte Turia	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1874	1874	William Coolidge, Meta Brevoort, Christian Almer			William Coolidge, Meta Brevoort, Christian Almer		Wikipedia
112	Monte Vélan	FALSE				First absolute ascent			31 agosto 1779	1779	Laurent Joseph Murith and two hunters from Liddes		Switzerland	Laurent Joseph Murith and two hunters from Liddes	Studer, Vol 2, pp. 467-8	Wikipedia Table
113	Monte Vioz	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Julius von Payer, Antonio Chiesa, Johann Pinggera			Julius von Payer, Antonio Chiesa, Johann Pinggera		Wikipedia
114	Monte Zebrù	FALSE		Silver age of alpinism		First absolute ascent			29 settembre 1866	1866	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera		Wikipedia
115	Pala di San Martino	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			23 giugno 1878	1878	Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes			Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes		Wikipedia
116	Palon de la Mare	FALSE		Silver age of alpinism		First absolute ascent			10 settembre1867	1867	Julius von Payer	guida Johann Pinggera, portatore Antonio Chiesa		Julius von Payer, guida Johann Pinggera, portatore Antonio Chiesa		Wikipedia
117	Pelmo	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent		The Irishman Ball was guided by an anonymous local (Venetian) chamois hunter up to the summit ridge, about 30 m below the summit.	19 settembre 1857	1857	John Ball		English	John Ball	Erschliessung, 3, pp. 475-6	Wikipedia, Wikidata Table
118	Pic Coolidge	FALSE		Silver age of alpinism		First absolute ascent			14 luglio1877	1877	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
119	Pic d'Olan	FALSE		Silver age of alpinism		First absolute ascent			1880	1880						Wikipedia
120	Pic Tyndall	FALSE		Golden age of alpinism		First absolute ascent			1862	1862	John Tyndall, Jean-Antoine Carrel	due guide		John Tyndall, Jean-Antoine Carrel, due guide		Wikipedia
121	Piz Boè	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			30 luglio1864	1864	Paul Grohmann			Paul Grohmann	Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
122	Pizzo Cengalo	FALSE		Silver age of alpinism		First absolute ascent			25 luglio 1866	1866	Douglas William Freshfield, Charles Comyns Tucker	François Devouassoud		Douglas William Freshfield, Charles Comyns Tucker, François Devouassoud		Wikipedia
123	Pizzo Rotondo (Cantone Ticino)	FALSE				First absolute ascent			1888	1888	William Auguste Coolidge, Christian Almer			William Auguste Coolidge, Christian Almer		Wikipedia
124	Pizzo Tresero	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel			Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel		Wikipedia
125	Pointe Haute de Mary	FALSE		Silver age of alpinism		First absolute ascent			luglio1879	1879	William Auguste Coolidge, Christin Almer, Ulrich Almer			William Auguste Coolidge, Christin Almer, Ulrich Almer		Wikipedia
126	Punta dei Tre Scarperi	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			18 luglio1869	1869	Paul Grohmann, Peter Salcher, Franz Innerkofler			Paul Grohmann, Peter Salcher, Franz Innerkofler		Wikipedia
127	Punta Gastaldi	FALSE				First absolute ascent			16 agosto1884	1884	William Auguste Coolidge, Ulrich Almer 			William Auguste Coolidge, Ulrich Almer 		Wikipedia
128	Punta Gelas di Lourousa	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
129	Punta Grohmann	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			1880	1880	Michel Innerkofler			Michel Innerkofler		Wikipedia
130	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent	Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Wikipedia (EN), Wikipedia (DE), Wikipedia (IT), Wikipedia Table
